negeri,kod_pusat,institusi,program,kod_noss,kategori,tahap,status,alamat,telefon,emel,idpb,utama,ptk
TERENGGANU,K02111,GIATMARA BATU RAKIT,"Peralatan Penyamanan Udara HVAC -Satu Fasa (Pemasangan, Servis, Troubleshooting & Pembaikpulihan)",ME-020-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
TERENGGANU,K02111,GIATMARA BATU RAKIT,SERVIS DIAGNOSTIK – KENDERAAN RINGAN,G452-002-3:2018,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
TERENGGANU,K02111,GIATMARA BATU RAKIT,Servis & Penyelenggaraan Motosikal,TP-118-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
TERENGGANU,K02065,GIATMARA BESUT,Automotif-Servis Selepas Jualan,TP-300-2:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"JALAN BATU TUMBUH, ALUR LINTANG 22200 BESUT, TERENGGANU",09-6950649,gmbesut@giatmara.edu.my,1177,False,False
TERENGGANU,K02065,GIATMARA BESUT,PEMBUATAN PAKAIAN WANITA,C141-005-2:2021,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"JALAN BATU TUMBUH, ALUR LINTANG 22200 BESUT, TERENGGANU",09-6950649,gmbesut@giatmara.edu.my,1177,False,False
TERENGGANU,K02065,GIATMARA BESUT,PERKHIDMATAN PEMBAIKAN – KENDERAAN RINGAN,G452-002-2:2018,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"JALAN BATU TUMBUH, ALUR LINTANG 22200 BESUT, TERENGGANU",09-6950649,gmbesut@giatmara.edu.my,1177,False,False
TERENGGANU,K02065,GIATMARA BESUT,Pembuatan Pakaian Wanita,TA-011-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"JALAN BATU TUMBUH, ALUR LINTANG 22200 BESUT, TERENGGANU",09-6950649,gmbesut@giatmara.edu.my,1177,False,False
TERENGGANU,K02065,GIATMARA BESUT,Pengemasan & Pengecatan Semula Kenderaan,G452-005-3:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"JALAN BATU TUMBUH, ALUR LINTANG 22200 BESUT, TERENGGANU",09-6950649,gmbesut@giatmara.edu.my,1177,False,False
TERENGGANU,K02065,GIATMARA BESUT,Penyeliaan dan Pengesanan Kerosakan Komponen dan Papan Elektronik,C261-001-3:2020,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,"JALAN BATU TUMBUH, ALUR LINTANG 22200 BESUT, TERENGGANU",09-6950649,gmbesut@giatmara.edu.my,1177,False,False
TERENGGANU,K02065,GIATMARA BESUT,Penyemburan Cat Automotif,TP-306-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"JALAN BATU TUMBUH, ALUR LINTANG 22200 BESUT, TERENGGANU",09-6950649,gmbesut@giatmara.edu.my,1177,False,False
TERENGGANU,K02149,GIATMARA DUNGUN,Proses Kimpalan Arka Kepingan Logam,MC-024-3:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"BATU 16, KAMPUNG NYIOR DUNGUN TERENGGANU 23100 PAKA, TERENGGANU",09-8286122,gmdungun@giatmara.edu.my,1181,False,False
TERENGGANU,K02062,GIATMARA HULU TERENGGANU (KUALA TELEMONG),Pemasangan & Penyelenggaraan Elektrik-Satu Fasa,EE-320-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"KUALA TELEMONG, 21210 KUALA TELEMONG, TERENGGANU",09-6142130,gmhuluterengganu@giatmara.edu.my,1174,False,False
TERENGGANU,K02062,GIATMARA HULU TERENGGANU (KUALA TELEMONG),Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"KUALA TELEMONG, 21210 KUALA TELEMONG, TERENGGANU",09-6142130,gmhuluterengganu@giatmara.edu.my,1174,False,False
TERENGGANU,K02062,GIATMARA HULU TERENGGANU (KUALA TELEMONG),Proses Kimpalan Arka Kepingan Logam,MC-024-3:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"KUALA TELEMONG, 21210 KUALA TELEMONG, TERENGGANU",09-6142130,gmhuluterengganu@giatmara.edu.my,1174,False,False
TERENGGANU,K02066,GIATMARA KEMAMAN,Pemasangan & Penyelenggaraan Elektrik-Satu Fasa,EE-320-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"LOT PT 2640, KG TITIAN BERAYUN 24100 KIJAL, TERENGGANU",09-8623140,gmkemaman@giatmara.edu.my,1178,False,False
TERENGGANU,K02066,GIATMARA KEMAMAN,Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"LOT PT 2640, KG TITIAN BERAYUN 24100 KIJAL, TERENGGANU",09-8623140,gmkemaman@giatmara.edu.my,1178,False,False
TERENGGANU,K02066,GIATMARA KEMAMAN,"Pemasangan dan Penyelenggaraan Satu Fasa Penyamanan Udara, Pengudaraan, Pemanasan (HVAC)",F432-007-3:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"LOT PT 2640, KG TITIAN BERAYUN 24100 KIJAL, TERENGGANU",09-8623140,gmkemaman@giatmara.edu.my,1178,False,False
TERENGGANU,K02066,GIATMARA KEMAMAN,"Peralatan Penyamanan Udara HVAC -Tiga Fasa (Servis, Troubleshooting & Pembaikpulihan)",ME-021-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"LOT PT 2640, KG TITIAN BERAYUN 24100 KIJAL, TERENGGANU",09-8623140,gmkemaman@giatmara.edu.my,1178,False,False
TERENGGANU,K02066,GIATMARA KEMAMAN,Proses Kimpalan Arka Kepingan Logam,MC-024-3:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"LOT PT 2640, KG TITIAN BERAYUN 24100 KIJAL, TERENGGANU",09-8623140,gmkemaman@giatmara.edu.my,1178,False,False
TERENGGANU,K02064,GIATMARA KETENGAH,Motosikal - Perkhidmatan Pembaikan,G454-001-2:2018,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Aktif,"BANDAL AL-MUKTAFIBILLAH SHAH 23400 KETENGAH, TERENGGANU",09-8221361,gmketengah@giatmara.edu.my,1176,False,False
TERENGGANU,K02064,GIATMARA KETENGAH,PEMBUATAN PAKAIAN WANITA,C141-005-2:2021,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"BANDAL AL-MUKTAFIBILLAH SHAH 23400 KETENGAH, TERENGGANU",09-8221361,gmketengah@giatmara.edu.my,1176,False,False
TERENGGANU,K02064,GIATMARA KETENGAH,Pembuatan Pakaian Wanita,TA-011-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"BANDAL AL-MUKTAFIBILLAH SHAH 23400 KETENGAH, TERENGGANU",09-8221361,gmketengah@giatmara.edu.my,1176,False,False
TERENGGANU,K02064,GIATMARA KETENGAH,Servis & Penyelenggaraan Motosikal,TP-118-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"BANDAL AL-MUKTAFIBILLAH SHAH 23400 KETENGAH, TERENGGANU",09-8221361,gmketengah@giatmara.edu.my,1176,False,False
TERENGGANU,K02150,GIATMARA KUALA NERUS,OPERASI TEKNIKAL PAKAIAN WANITA,C141-005-3:2021,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"KAMPUNG BUKIT PETITI, BELARAQ 21200 KUALA NERUS, TERENGGANU",09-6301062,gmkualanerus@giatmara.edu.my,1182,False,False
TERENGGANU,K02150,GIATMARA KUALA NERUS,Pemasangan & Penyelenggaraan Elektrik-Satu Fasa,EE-320-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"KAMPUNG BUKIT PETITI, BELARAQ 21200 KUALA NERUS, TERENGGANU",09-6301062,gmkualanerus@giatmara.edu.my,1182,False,False
TERENGGANU,K02150,GIATMARA KUALA NERUS,Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"KAMPUNG BUKIT PETITI, BELARAQ 21200 KUALA NERUS, TERENGGANU",09-6301062,gmkualanerus@giatmara.edu.my,1182,False,False
TERENGGANU,K02150,GIATMARA KUALA NERUS,Pembuatan Pakaian Wanita,TA-011-3:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,"KAMPUNG BUKIT PETITI, BELARAQ 21200 KUALA NERUS, TERENGGANU",09-6301062,gmkualanerus@giatmara.edu.my,1182,False,False
TERENGGANU,K02150,GIATMARA KUALA NERUS,Penyediaan & Pembuatan Makanan,HT-012-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"KAMPUNG BUKIT PETITI, BELARAQ 21200 KUALA NERUS, TERENGGANU",09-6301062,gmkualanerus@giatmara.edu.my,1182,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,Operasi Sistem Komputer,IT-020-3:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,PEMBUATAN PAKAIAN WANITA,C141-005-2:2021,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,PEMBUATAN PAKAIAN WANITA,C141-005-2:2021,Program Micro Credential,SKM Tahap 2,Aktif,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,Pemasangan & Penyelenggaraan Elektrik-Satu Fasa,EE-320-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,Pembuatan Pakaian Wanita,TA-011-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,Pengeluaran Hiasan Dalaman (Fabrik),ID-031-3:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02131,GIATMARA KUALA TERENGGANU,Penyeliaan dan Pengesanan Kerosakan Komponen dan Papan Elektronik,C261-001-3:2020,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,"LOT 1088 JALAN HAJI BUSU, BATU BURUK 20400 BATU BURUK TERENGGANU",09-6203653,gmkualaterengganu@giatmara.edu.my,1180,False,False
TERENGGANU,K02061,GIATMARA MARANG (BUKIT PAYONG),Automotif-Servis Selepas Jualan,TP-300-2:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"JALAN RAWAI 21400 BUKIT PAYONG, TERENGGANU",09-6102030,gmmarang@giatmara.edu.my,1173,False,False
TERENGGANU,K02061,GIATMARA MARANG (BUKIT PAYONG),PEMBUATAN PAKAIAN WANITA,C141-005-2:2021,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"JALAN RAWAI 21400 BUKIT PAYONG, TERENGGANU",09-6102030,gmmarang@giatmara.edu.my,1173,False,False
TERENGGANU,K02061,GIATMARA MARANG (BUKIT PAYONG),PEMBUATAN SUPERSTRUKTUR DAN SERIMALA GENTIAN KACA,TP-022-3:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"JALAN RAWAI 21400 BUKIT PAYONG, TERENGGANU",09-6102030,gmmarang@giatmara.edu.my,1173,False,False
TERENGGANU,K02061,GIATMARA MARANG (BUKIT PAYONG),PERKHIDMATAN PEMBAIKAN – KENDERAAN RINGAN,G452-002-2:2018,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"JALAN RAWAI 21400 BUKIT PAYONG, TERENGGANU",09-6102030,gmmarang@giatmara.edu.my,1173,False,False
TERENGGANU,K02061,GIATMARA MARANG (BUKIT PAYONG),Pembuatan Pakaian Wanita,TA-011-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"JALAN RAWAI 21400 BUKIT PAYONG, TERENGGANU",09-6102030,gmmarang@giatmara.edu.my,1173,False,False
TERENGGANU,K02061,GIATMARA MARANG (BUKIT PAYONG),Pengemasan & Pengecatan Semula Kenderaan,G452-005-3:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"JALAN RAWAI 21400 BUKIT PAYONG, TERENGGANU",09-6102030,gmmarang@giatmara.edu.my,1173,False,False
TERENGGANU,K02061,GIATMARA MARANG (BUKIT PAYONG),Penyemburan Cat Automotif,TP-306-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"JALAN RAWAI 21400 BUKIT PAYONG, TERENGGANU",09-6102030,gmmarang@giatmara.edu.my,1173,False,False
TERENGGANU,K02063,GIATMARA SETIU,Automotif-Servis Selepas Jualan,TP-300-2:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"KAMPUNG PAK KANCIL 21400 CHALOK, SETIU, TERENGGANU",09-6097540,gmsetiu@giatmara.edu.my,1175,False,False
TERENGGANU,K02063,GIATMARA SETIU,Operasi Pembinaan Bangunan,F410-001-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"KAMPUNG PAK KANCIL 21400 CHALOK, SETIU, TERENGGANU",09-6097540,gmsetiu@giatmara.edu.my,1175,False,False
TERENGGANU,K02063,GIATMARA SETIU,PERKHIDMATAN PEMBAIKAN – KENDERAAN RINGAN,G452-002-2:2018,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"KAMPUNG PAK KANCIL 21400 CHALOK, SETIU, TERENGGANU",09-6097540,gmsetiu@giatmara.edu.my,1175,False,False
TERENGGANU,K02063,GIATMARA SETIU,Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"KAMPUNG PAK KANCIL 21400 CHALOK, SETIU, TERENGGANU",09-6097540,gmsetiu@giatmara.edu.my,1175,False,False
TERENGGANU,K02063,GIATMARA SETIU,Pembinaan Bangunan Residensi,BC-030-3:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,"KAMPUNG PAK KANCIL 21400 CHALOK, SETIU, TERENGGANU",09-6097540,gmsetiu@giatmara.edu.my,1175,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Dandanan Rambut,HT-090-3:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,OPERASI SENI KULINARI,I561-005-3:2022,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Operasi Kaunter Hadapan,I551-002-3:2017,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Operasi Pengemasan,I551-003-2:2018,Program Micro Credential,SKM Tahap 2,Aktif,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Pembuatan Pastri,HT-014-3:2011,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Pembuatan Roti,HT-013-3:2011,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Penyediaan & Pembuatan Makanan,HT-012-3:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Perkhidmatan Estetik,S960-002-3:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Perkhidmatan Estetik,S960-002-3:2020,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03022,INSTITUT KEMAHIRAN BELIA NEGARA KEMASIK,Video/ Produksi Filem (Penggambaran),IT-071-3:2011,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,KM 19 JALAN KEMAMAN-DUNGUN 24200 KEMAMAN TERENGGANU,09-8664500,nur_azlina.kbs@1govuc.goc.my,1184,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,OPERASI TEKNIKAL PAKAIAN WANITA,C141-005-3:2021,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,"Operasi Fabrikasi Paip(Minyak, Gas & Petrokimia)",OG-010-3:2011,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,PENYELIAAN OPERASI & PENYELENGGARAAN BANGUNAN,BC-070-3:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,PENYELIAAN OPERASI & PENYELENGGARAAN BANGUNAN,BC-070-3:2014,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,PENYELIAAN PEMASANGAN PERPAIPAN DAN KUMBAHAN,F432-002-3:2017,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,PROSES KIMPALAN ARKA LOGAM BERPERISAI,C259-008-3:2022,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,Pemasangan dan Penyelenggaraan Elektrik Tiga Fasa,F432-005-3:2019,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,Pembuatan Pakaian Wanita,TA-011-3:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,Pentadbiran Fesyen dan Pakaian,TA-011-4:2013,Program Penuh - Persijilan Mengikut Tahap,Diploma Kemahiran Malaysia,Sekat Pengambilan,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
TERENGGANU,K03003,INSTITUT KEMAHIRAN BELIA NEGARA WAKAF TAPAI,Penyeliaan dan Jahitan Pakaian Lelaki,C141-001-3:2017,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Aktif,"KM24, Jalan Kuala Terengganu - Kuala Berang,",096806000,ikbn_wtapai@kbs.gov.my,1183,False,False
